author,avg_serial_week,check_count,ending,favorite,id,letter,link,period,recommendation,serial_last,serial_start,serial_time,source,title,version,view,view_per_date,recommendation_per_date,letter_per_date,favorite_per_date,view_per_serial,recommendation_per_serial,letter_per_serial,favorite_per_serial
김군0619,8.6,0,연재작,7328,17,6145561,https://novel.munpia.com/214511,437,111066,2021.11.08 12:05,2020.08.28 12:00,727,문피아_유료,풀백이 축구를 너무 잘함,1,2920777,6683.700228832952,254.15560640732267,14063.068649885583,16.76887871853547,4017.5749656121047,152.77303988995874,8453.31636863824,10.07977991746905
고광(高光),6.2,0,연재작,25987,18,482456,https://novel.munpia.com/280291,42,110078,2021.11.08 12:00,2021.09.27 12:00,90,문피아_유료,환상의 화원,1,3473317,82698.02380952382,2620.904761904762,11487.047619047618,618.7380952380952,38592.41111111111,1223.088888888889,5360.622222222222,288.74444444444447
박민우,2.0,0,연재작,5557,19,9445129,https://novel.munpia.com/33554,2334,165697,2021.11.08 12:00,2015.06.19 17:48,1600,문피아_유료,삼국지 여포전,1,4784859,2050.068123393316,70.99271636675236,4046.756212510711,2.3808911739503,2990.536875,103.560625,5903.205625,3.473125
요람(搖籃),5.9,0,연재작,3016,20,1566607,https://novel.munpia.com/245409,234,17334,2021.11.08 12:00,2021.03.19 12:00,258,문피아_유료,회귀한 유도 천재는 다재다능,1,696757,2977.594017094017,74.07692307692308,6694.901709401709,12.88888888888889,2700.608527131783,67.18604651162791,6072.12015503876,11.689922480620154
오리형,4.5,0,연재작,2253,21,1146366,https://novel.munpia.com/252531,196,12687,2021.11.08 12:00,2021.04.26 12:00,201,문피아_유료,삼국지 : 미완의 군주,1,617688,3151.469387755102,64.7295918367347,5848.806122448979,11.494897959183673,3073.0746268656717,63.11940298507463,5703.313432835821,11.208955223880597
태대비,6.1,0,연재작,5935,22,1241891,https://novel.munpia.com/255600,188,32951,2021.11.08 12:00,2021.05.04 12:00,214,문피아_유료,이고깽 이후 천 년,1,826214,4394.755319148936,175.2712765957447,6605.803191489362,31.569148936170212,3860.8130841121497,153.97663551401868,5803.228971962617,27.733644859813083
푸달,5.1,0,연재작,9842,23,1235661,https://novel.munpia.com/257366,174,55920,2021.11.08 12:00,2021.05.18 11:00,182,문피아_유료,천재 개발자 재벌되다,1,2222786,12774.632183908046,321.37931034482756,7101.5,56.5632183908046,12213.10989010989,307.25274725274727,6789.346153846154,54.07692307692308
박민우,6.8,0,연재작,23086,24,1244816,https://novel.munpia.com/260381,167,132731,2021.11.08 12:00,2021.05.25 12:00,208,문피아_유료,한의사는 연금술을 씁니다,1,4298167,25737.526946107784,794.7964071856287,7453.988023952096,138.23952095808383,20664.264423076922,638.1298076923077,5984.692307692308,110.99038461538461
형우(亨雨),6.7,0,연재작,5997,25,1626742,https://novel.munpia.com/261368,181,23155,2021.11.08 12:00,2021.05.11 12:00,210,문피아_유료,국대 은퇴 후 포텐 폭발!,1,1202056,6641.193370165746,127.92817679558011,8987.524861878454,33.13259668508287,5724.07619047619,110.26190476190476,7746.390476190476,28.557142857142857
한무결,5.1,0,연재작,4341,26,839530,https://novel.munpia.com/266185,96,20122,2021.11.08 12:00,2021.08.04 11:00,135,문피아_유료,내 동생은 존잘남신,1,748311,7794.90625,209.60416666666666,8745.104166666666,45.21875,5543.044444444445,149.05185185185186,6218.740740740741,32.15555555555556
아케냥,5.9,0,연재작,2258,27,897794,https://novel.munpia.com/266758,105,11114,2021.11.08 12:00,2021.07.26 12:00,165,문피아_유료,술을 빚어 인생역전,1,495670,4720.666666666667,105.84761904761905,8550.419047619047,21.504761904761907,3004.060606060606,67.35757575757576,5441.175757575757,13.684848484848485
김환도,5.1,0,연재작,13396,28,717478,https://novel.munpia.com/268820,119,55136,2021.11.08 12:00,2021.07.12 12:00,137,문피아_유료,특성 먹는 플레이어,1,2607484,21911.63025210084,463.327731092437,6029.226890756303,112.57142857142857,19032.729927007298,402.45255474452557,5237.065693430657,97.78102189781022
용발차기,5.2,0,연재작,3254,29,526698,https://novel.munpia.com/273997,63,16849,2021.11.08 12:00,2021.09.06 11:00,102,문피아_유료,조대리가 돌아왔다,1,932252,14797.650793650793,267.44444444444446,8360.285714285714,51.65079365079365,9139.725490196079,165.18627450980392,5163.705882352941,31.901960784313726
강로이,8.7,0,연재작,15676,30,990400,https://novel.munpia.com/274911,90,80222,2021.11.08 12:00,2021.08.10 12:00,171,문피아_유료,검은 머리 전술 천재,1,3070433,34115.92222222222,891.3555555555556,11004.444444444445,174.17777777777778,17955.748538011696,469.1345029239766,5791.812865497076,91.67251461988305
슬리버,6.6,0,연재작,26174,31,1073673,https://novel.munpia.com/275217,95,125888,2021.11.08 12:00,2021.08.05 12:00,131,문피아_유료,우주에서 온 독재자,1,3952626,41606.58947368421,1325.1368421052632,11301.82105263158,275.5157894736842,30172.717557251908,960.9770992366413,8195.977099236641,199.80152671755727
태진,7.2,0,연재작,9250,32,882355,https://novel.munpia.com/275713,69,47088,2021.11.08 12:00,2021.08.31 12:00,132,문피아_유료,역대급 재벌3세,1,2011843,29157.144927536232,682.4347826086956,12787.753623188406,134.05797101449275,15241.234848484848,356.72727272727275,6684.507575757576,70.07575757575758
