ID,author,avg_serial_week,ending,favorite,letter,link,period,recommendation,serial_last,serial_start,serial_time,source,title,version,view
34,쌍봉낙타3,4.9,연재작,9517,547388,https://novel.munpia.com/275242,58,47673,2021.11.04 22:03,2021.09.07 21:00,98,문피아_유료,야만사냥꾼이 되었다,1,1461225
35,비류수,7.3,연재작,2206,823004,https://novel.munpia.com/273461,94,10785,2021.11.04 22:00,2021.08.02 17:00,149,문피아_유료,신 6.25전쟁.,1,500809
36,란델,4.0,연재작,22608,6354978,https://novel.munpia.com/90225,1452,417518,2021.11.04 22:00,2017.11.13 17:00,1088,문피아_유료,70억분의 1의 이레귤러,1,12858098
37,순두부정신,5.1,연재작,5814,2328584,https://novel.munpia.com/206770,477,89076,2021.11.04 22:00,2020.07.15 17:00,390,문피아_유료,지구를 멸망시키러 왔단다,1,1646162
38,아냐시스,5.1,연재작,2877,2251921,https://novel.munpia.com/207359,328,34513,2021.11.04 22:00,2020.12.11 12:00,399,문피아_유료,내 아이돌의 꽃길을 위해,1,767727
39,마늘맛스낵,4.7,연재작,6783,2199390,https://novel.munpia.com/216931,405,74474,2021.11.04 22:00,2020.09.25 17:00,338,문피아_유료,"고려, 신대륙에 떨어지다",1,1720540
40,Skybear,5.7,연재작,406,1442869,https://novel.munpia.com/246962,230,1058,2021.11.04 22:00,2021.03.19 12:00,270,문피아_유료,진홍의 용린,1,37988
41,카르카손,4.9,연재작,8141,1038983,https://novel.munpia.com/266939,113,57797,2021.11.04 22:00,2021.07.14 18:00,154,문피아_유료,내 혁명에 단두대는 필요없다,1,1047957
42,최백,7.0,연재작,3372,971022,https://novel.munpia.com/268101,63,20345,2021.11.04 22:00,2021.09.02 17:00,170,문피아_유료,드라마 쓰는 재벌가 막내,1,1029931
43,연이요,4.6,연재작,10904,806066,https://novel.munpia.com/268471,122,46331,2021.11.04 22:00,2021.07.05 17:00,138,문피아_유료,회귀한 무신이 기연을 독식함,1,2196978
44,와이키키진,6.9,연재작,1983,583013,https://novel.munpia.com/273491,48,6657,2021.11.04 22:00,2021.09.17 22:00,98,문피아_유료,몰락한 가문의 영주가 되었다,1,403738
45,매칭카드,4.8,연재작,4715,419895,https://novel.munpia.com/277620,21,18052,2021.11.04 22:00,2021.10.14 17:00,78,문피아_유료,검은머리 감독의 할리우드 정복기,1,926208
46,Go송,5.4,연재작,3288,474827,https://novel.munpia.com/278828,42,11945,2021.11.04 22:00,2021.09.23 18:00,84,문피아_유료,재벌집 막내사위,1,621295
47,글헌터,9.0,연재작,4058,555151,https://novel.munpia.com/282683,24,20222,2021.11.04 22:00,2021.10.11 22:00,104,문피아_유료,수령님 적당히 좀 하세요!,1,793749
48,노오력.,5.8,연재작,7706,545313,https://novel.munpia.com/279311,49,38244,2021.11.04 21:31,2021.09.16 21:00,86,문피아_유료,서부로 간 검은머리 용병,1,911689
49,프란차,5.6,연재작,2860,438837,https://novel.munpia.com/279801,14,12771,2021.11.04 21:30,2021.10.21 21:00,83,문피아_유료,다재다능 만능아이돌,1,626274
